Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F2: 130N, Sample, A, (-)BiotinPD","Abundance: F2: 129C, Sample, A, (-)Hpg","Abundance: F2: 126, Sample, A, 0_0Hr","Abundance: F2: 127N, Sample, A, 0_5Hr","Abundance: F2: 127C, Sample, A, 1_0Hr","Abundance: F2: 128N, Sample, A, 1_5Hr","Abundance: F2: 128C, Sample, A, 2_0Hr","Abundance: F2: 129N, Sample, A, 3_0Hr","Abundance: F2: 134N, Sample, B, (-)BiotinPD","Abundance: F2: 133C, Sample, B, (-)Hpg","Abundance: F2: 130C, Sample, B, 0_0Hr","Abundance: F2: 131N, Sample, B, 0_5Hr","Abundance: F2: 131C, Sample, B, 1_0Hr","Abundance: F2: 132N, Sample, B, 1_5Hr","Abundance: F2: 132C, Sample, B, 2_0Hr","Abundance: F2: 133N, Sample, B, 3_0Hr","Abundance: F1: 126, Sample, C, (-)BiotinPD","Abundance: F1: 130N, Sample, C, (-)Hpg","Abundance: F1: 129C, Sample, C, 0_0Hr","Abundance: F1: 129N, Sample, C, 0_5Hr","Abundance: F1: 128C, Sample, C, 1_0Hr","Abundance: F1: 128N, Sample, C, 1_5Hr","Abundance: F1: 127C, Sample, C, 2_0Hr","Abundance: F1: 127N, Sample, C, 3_0Hr","Abundance: F1: 130C, Sample, D, (-)BiotinPD","Abundance: F1: 134N, Sample, D, (-)Hpg","Abundance: F1: 133C, Sample, D, 0_0Hr","Abundance: F1: 133N, Sample, D, 0_5Hr","Abundance: F1: 132C, Sample, D, 1_0Hr","Abundance: F1: 132N, Sample, D, 1_5Hr","Abundance: F1: 131C, Sample, D, 2_0Hr","Abundance: F1: 131N, Sample, D, 3_0Hr","Abundance: F8: 126, Sample, E, (-)BiotinPD","Abundance: F8: 133C, Sample, E, (-)Hpg","Abundance: F8: 127C, Sample, E, 0_0Hr","Abundance: F8: 128C, Sample, E, 0_5Hr","Abundance: F8: 129C, Sample, E, 1_0Hr","Abundance: F8: 130C, Sample, E, 1_5Hr","Abundance: F8: 131C, Sample, E, 2_0Hr","Abundance: F8: 132C, Sample, E, 3_0Hr","Abundance: F8: 127N, Sample, F, (-)BiotinPD","Abundance: F8: 134N, Sample, F, (-)Hpg","Abundance: F8: 128N, Sample, F, 0_0Hr","Abundance: F8: 129N, Sample, F, 0_5Hr","Abundance: F8: 130N, Sample, F, 1_0Hr","Abundance: F8: 131N, Sample, F, 1_5Hr","Abundance: F8: 132N, Sample, F, 2_0Hr","Abundance: F8: 133N, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
P60711,"Actin, cytoplasmic 1 OS",ACTB,137.895,41,11,95,5,2903.6,168.4,164.5,191.1,196.2,148.2,113.4,160.1,6276.7,66.8,171.8,23.9,100.8,101.1,571.5,14.5,4679.4,96.7,127.5,182.6,205.5,222.1,53.6,518.8,4110.2,85.6,115.4,238.2,198.9,184.9,76.1,185.4,6994.9,3721.5,1510.1,636.5,339.1,578.1,536.6,312.3,12862.1,275.7,792.8,332.6,680.9,303.6,312.5,276.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9JLA3,UDP-glucose:glycoprotein glucosyltransferase 1 OS,UGGT1,137.666,26,30,63,30,1024.4,96.5,95.3,134.5,120.1,129.5,41,91.5,2410.4,60.7,87.3,54.6,66.3,61.7,84.1,27.2,2069.8,461.3,343.5,339.1,602.9,389.5,193.4,687.8,1444.7,144.1,252.6,591.1,529.2,340,297.4,555.6,3400.4,391.3,600.1,360.2,204.6,322.1,271.7,205.4,7686.3,150.4,66.4,174.6,361.6,201.5,213.5,158.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
M0R979,Protein Thbs1 (Fragment) OS,THBS1,134.054,31,19,73,19,1073.8,37.7,94.9,80.2,87.8,55,27.1,42.4,2306.5,18.5,65.2,43.7,51.5,32.4,48.2,4.1,4542.2,59.4,79,125.4,112.4,108.9,17,127.9,3661.6,76.8,75.4,129.2,114.7,111.3,32.1,78.1,8300.5,500.1,707,535.2,244.4,431.1,266.9,168.3,22582.2,145.9,266.2,156.6,499.1,174.7,232.3,155.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P04785,Protein disulfide-isomerase OS,P4HB,130.364,46,19,108,19,3554.2,109,339.8,285.9,314.7,195.3,126,138.7,11039,55.3,354.3,98.9,190.1,153.6,186.2,26.7,7662.2,66.1,1018.9,935,1260.9,1182.6,447.3,1063.3,5885.5,35.2,597.4,1326.1,1172.7,950.5,876,386.2,6082.6,983.6,755.4,475.8,285.3,452,347.9,301.6,10627.2,161.6,189.9,267.4,451.4,268.9,291.4,204.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P63039,"60 kDa heat shock protein, mitochondrial OS",HSPD1,124.928,44,21,68,21,2334.1,98,97.2,86.6,110.9,64.5,54.7,54,4185.8,12.9,80.1,4,48,46,61.9,6.3,1109.5,105.3,99.9,109.5,164.3,154.9,106.5,489.7,869.4,45.4,103.1,144.7,131.2,122.6,98.1,132.4,4949.2,1516.3,538.6,502.5,278,425.2,341.2,274,7529.4,194.3,206.2,263.3,422.7,227.6,284.7,245.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11980-2,Isoform M2 of Pyruvate kinase PKM OS,PKM,123.432,47,21,96,16,1667.2,134,99.9,128.1,91.5,83.7,48.8,100.5,4963.7,58.3,100.2,11.8,84.2,83.3,122.3,6.1,6387,167.2,140.9,190.5,238.1,249.1,7.3,470.7,5004.1,131.4,150.3,234.1,232.2,229.2,59.1,215.1,7912.3,1789,1101.3,549.6,309.3,664.7,426.5,344.7,16902.9,379.9,427.5,219.1,683.5,264.4,296.2,308.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P18418,Calreticulin OS,CALR,121.749,53,19,154,19,7521.3,116.6,568.6,381.8,416.8,234.4,175.4,130.1,20131.1,45.1,658.2,71.4,220.4,193.4,231.2,44.8,8935.2,160.8,1111.3,914.5,1107.2,1038.7,304.3,809.2,6947.8,101.1,706.2,1192.2,1023.1,817.5,621.3,425.4,13344.4,776.7,712.9,632.7,328.6,519.9,329,277.1,25876.4,154.3,136.6,232.6,532.6,336.5,291.3,184.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P63018,Heat shock cognate 71 kDa protein OS,HSPA8,121.251,41,25,85,10,1007,97.3,55.8,62.2,66.1,57.2,43.8,71,2258.7,27.2,45.9,12.6,53.8,52.7,69.6,10.4,2638,204.8,151.9,211,230.2,228.3,97.6,497.3,2150.4,130.8,135.5,296.3,240.4,239.6,136.1,223.7,4097,3612.2,1939,1058.9,632.8,1062.5,835.3,497.6,8231.9,544.3,896.4,555.3,1187.5,541.8,628.4,524.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P15999,"ATP synthase subunit alpha, mitochondrial OS",ATP5A1,115.091,51,22,68,22,4169,156.7,161,200.1,211.7,163,111.7,154.4,7344.1,79.2,158.7,40.3,120.4,124,169.1,39.4,1813.9,52.2,75.4,105.2,140.6,140.5,51,177.7,1488.1,33.9,65,127.9,128.9,117.3,80.8,97.1,2610,1873.3,561.9,525.9,278.3,410.9,352.2,294.5,5944.2,189.4,319.9,262.2,406.8,243.3,292.2,244.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9QZK5,Serine protease HTRA1 OS,HTRA1,115.062,52,18,52,18,329.2,19.1,17.9,19.3,14.5,5.8,14.1,16.4,946.8,10.5,21.1,9.9,9.8,16.3,16.4,3.2,5213.4,25.9,19.7,90.6,75,63.4,,67.9,3930.2,38.4,42.3,82.8,50.9,69,3.2,31.4,4459.4,557.7,823.9,560.9,316.6,465.6,328.7,230.8,14332,216,204.3,218.6,501.4,228.4,323.6,218.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
P10719,"ATP synthase subunit beta, mitochondrial OS",ATP5B,114.362,43,15,62,15,1094.8,37.6,45.9,46.3,42,30.1,29.4,41.3,2715.4,26.8,38.6,2,33.5,31.3,35,9.5,74.4,2.3,1.4,3.4,5.3,4.3,2.8,2.7,62.7,2.5,,3.8,4.9,3.2,2.7,2.3,1995.6,2441.1,544.4,560.2,328.4,471.7,415.6,364.9,3738.7,236,294.6,293.1,504.9,347.6,374.5,319.4,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%
D3ZCG9,Integrin alpha 3 variant A OS,ITGA3,101.49,22,15,55,15,3581,130.9,112.4,128.1,105.1,128.7,68.3,112.1,11301.2,46.4,99.3,25.2,84,68.8,112.6,7.6,1841.9,13.7,51.3,69.7,90.8,116.5,12.4,75.9,1491.3,13.3,48.4,89.8,83.1,57.9,26.8,46.4,2876.6,356.4,320.7,364.4,159.5,260.9,218.5,161.1,7901.9,175.6,222.5,183.1,320.1,165.1,195.7,163.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q498R3,DnaJ homolog subfamily C member 10 OS,DNAJC10,95.997,26,17,48,17,2337.3,42.6,210.5,180.8,169,109.6,89.3,55.2,4970.4,27.8,186.7,20.4,106,81.9,82.3,39.1,3015.9,100.3,423.4,415.7,474.5,512.6,168.3,395.3,2349.3,81.3,297.9,517.7,427.8,397.2,289,262,2139.8,244.7,596.4,344.5,179.5,287.8,220.3,167.2,6329.4,104.4,276.4,212.9,263.2,169,199.5,115.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q07936,Annexin A2 OS,ANXA2,95.664,47,16,65,16,2144.1,782.4,406.2,516.2,306.2,403.9,175.4,417.8,4326.5,337.2,289.1,219.9,263.3,322.3,359,146.5,222.3,36.2,36.4,40.8,57.8,47.9,32.5,87.6,202.2,26.6,35,48.6,53,44.2,35.8,51.2,2117.2,6049.1,4188,1072.9,696.8,1467.4,745.3,380.2,4365.2,600,1081.1,399.3,1488.5,444.5,501.7,545.5,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6TUG0,DnaJ homolog subfamily B member 11 OS,DNAJB11,95.122,41,13,67,13,2736.6,98.7,193.8,244.4,227.2,145.9,110.8,160.4,6631.6,84.4,185.7,56.2,144.6,127.2,152.5,45.2,3964.8,131,624.3,488.2,581.6,604.7,176.4,520.2,3756.1,80.1,319.1,617.1,618.3,493.3,423,246.2,4302.8,368,379.9,312.5,171.3,306.8,253.9,218.8,6915,178.1,256.2,183.9,276.8,171,174.2,178.9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P05197,Elongation factor 2 OS,EEF2,92.599,31,21,58,21,199.7,40.6,16.4,18.7,16.9,15.8,11,24.1,553.8,19.3,15.8,8.3,15.3,10,17.6,3.2,1766.8,42.4,31.2,36.8,58.5,46.1,4.4,182.3,1383.5,23.3,21.4,45.4,43.1,49.2,16.1,41.2,5579,1393.1,1276.5,564.1,349.6,600.3,500,284.9,12681.9,217.2,128.5,279.1,580.5,336.1,309.7,251.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P04797,Glyceraldehyde-3-phosphate dehydrogenase OS,GAPDH,88.518,42,13,156,2,289.4,3.8,6.3,5.8,11.5,7.4,3.4,5.9,861.5,2.6,8.2,,5.2,5.8,6.9,0.6,7572.6,216,90.2,189.2,209.1,164.3,50.6,520.5,6160.4,127.7,129.2,265.4,218,190.7,94.4,291.3,8893.5,4256.1,2751,1595.2,954.9,1761.1,1137.4,824.9,18533.6,744.9,917.9,800.9,1626.7,679.6,898.4,805.3,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%,100%
Q64428,"Trifunctional enzyme subunit alpha, mitochondrial OS",HADHA,85.012,29,16,46,16,168.6,7.4,12.8,12.9,11.1,8.8,5.2,8.1,354.2,3.3,14.5,,11.2,8,7.9,,262.1,81.9,54.2,66.9,59.4,64.8,64.2,106.7,219,43.7,38.1,79.6,92.1,87.6,69.4,69.2,4203.3,858.7,584.7,456,241.1,409.8,318.9,240.8,9613.3,180.5,282.5,225.3,539,227.6,279.6,203.8,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,86%,100%,100%,100%,71%,100%,100%,100%,100%,100%,75%,100%,100%,100%,100%
G3V836,Clusterin OS,CLU,82.758,21,9,131,9,869.2,21.9,12,10.9,21.6,7.8,3.1,31,2917.8,4.9,13.4,3.5,7.5,8.5,9.9,,30974.1,418.6,344.7,508.8,559.3,596.6,142.7,645.3,23365.6,405.1,435.9,563,540.3,583.8,290.7,456.4,18742.5,965,2085.1,1034.8,608.5,989.7,779.4,563.5,41960.2,570.9,1534.4,447.8,1072.6,600.2,618,538.6,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%,100%
P82995,Heat shock protein HSP 90-alpha OS,HSP90AA1,82.305,25,17,43,8,446.4,108.2,36.8,36.9,25.6,28.2,20.2,29.8,1256.7,15.4,26.6,4.1,17,20.8,29.2,19.4,1065.4,20.4,35.8,32.8,54.3,52.6,,58.4,872.8,14.1,25,44.8,40.9,42.1,5.8,17,733.1,251.6,125.4,76.4,51.1,61.9,44.8,41.3,1787.3,37.8,62.8,60.4,73.8,47.6,49.5,38.1,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,93%,100%,100%,100%,86%,100%,100%,100%,100%,100%,88%,100%,100%,100%
P11442,Clathrin heavy chain 1 OS,CLTC,81.082,14,17,28,17,102.1,13.8,6.3,11.4,10.2,7.8,3.4,7.6,242,4.2,8.4,4.2,9.7,7.5,4.9,2.7,222.7,8.5,6.3,7.1,9.6,11.8,1.2,26.4,167.5,5.2,7.5,7.9,11.7,10.9,6.6,10.1,2023.2,966.6,392,416,214.3,356.6,240.1,161.6,5129.8,158.2,185,191.9,374.5,195.3,190.7,202.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
D3ZZC1,Protein Txndc5 OS,TXNDC5,76.191,45,12,30,12,386.8,3.8,26,33.7,29.9,20.9,13.2,14.6,1045.4,1.4,30.1,9.5,16.9,9.5,13.7,4.8,902.4,27.4,155.1,138,183.2,176.5,65.8,115.9,739.6,12.5,77.8,166.8,149.9,132.2,125.4,53.3,1541.6,160.2,137.9,167.6,76.8,120.5,97.3,86.5,2516,50,27.6,73.7,105.8,71.1,64,58,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
