Accession,Description,Gene Symbol,Sum PEP Score,Coverage [%],# Peptides,# PSMs,# Unique Peptides,"Abundance: F3: 130N, Sample, A, (-)BiotinPD","Abundance: F3: 129C, Sample, A, (-)Hpg","Abundance: F3: 126, Sample, A, 0_0Hr","Abundance: F3: 127N, Sample, A, 0_5Hr","Abundance: F3: 127C, Sample, A, 1_0Hr","Abundance: F3: 128N, Sample, A, 1_5Hr","Abundance: F3: 128C, Sample, A, 2_0Hr","Abundance: F3: 129N, Sample, A, 3_0Hr","Abundance: F3: 134N, Sample, B, (-)BiotinPD","Abundance: F3: 133C, Sample, B, (-)Hpg","Abundance: F3: 130C, Sample, B, 0_0Hr","Abundance: F3: 131N, Sample, B, 0_5Hr","Abundance: F3: 131C, Sample, B, 1_0Hr","Abundance: F3: 132N, Sample, B, 1_5Hr","Abundance: F3: 132C, Sample, B, 2_0Hr","Abundance: F3: 133N, Sample, B, 3_0Hr","Abundance: F4: 133C, Sample, C, (-)BiotinPD","Abundance: F4: 126, Sample, C, (-)Hpg","Abundance: F4: 127C, Sample, C, 0_0Hr","Abundance: F4: 128C, Sample, C, 0_5Hr","Abundance: F4: 129C, Sample, C, 1_0Hr","Abundance: F4: 130C, Sample, C, 1_5Hr","Abundance: F4: 131C, Sample, C, 2_0Hr","Abundance: F4: 132C, Sample, C, 3_0Hr","Abundance: F4: 134N, Sample, D, (-)BiotinPD","Abundance: F4: 127N, Sample, D, (-)Hpg","Abundance: F4: 128N, Sample, D, 0_0Hr","Abundance: F4: 129N, Sample, D, 0_5Hr","Abundance: F4: 130N, Sample, D, 1_0Hr","Abundance: F4: 131N, Sample, D, 1_5Hr","Abundance: F4: 132N, Sample, D, 2_0Hr","Abundance: F4: 133N, Sample, D, 3_0Hr","Abundance: F9: 126, Sample, E, (-)BiotinPD","Abundance: F9: 130N, Sample, E, (-)Hpg","Abundance: F9: 129C, Sample, E, 0_0Hr","Abundance: F9: 129N, Sample, E, 0_5Hr","Abundance: F9: 128C, Sample, E, 1_0Hr","Abundance: F9: 128N, Sample, E, 1_5Hr","Abundance: F9: 127C, Sample, E, 2_0Hr","Abundance: F9: 127N, Sample, E, 3_0Hr","Abundance: F9: 134N, Sample, F, (-)BiotinPD","Abundance: F9: 130C, Sample, F, (-)Hpg","Abundance: F9: 131N, Sample, F, 0_0Hr","Abundance: F9: 131C, Sample, F, 0_5Hr","Abundance: F9: 132N, Sample, F, 1_0Hr","Abundance: F9: 132C, Sample, F, 1_5Hr","Abundance: F9: 133N, Sample, F, 2_0Hr","Abundance: F9: 133C, Sample, F, 3_0Hr",Quantified,Run 1 - Quantified,Run 2 - Quantified,Run 3 - Quantified,Run 1 - Fully Quantified,Run 2 - Fully Quantified,Run 3 - Fully Quantified,Total - Fully Quantified,Run 1 - % Hpg Pulse Channels Quantified,Run 2 - % Hpg Pulse Channels Quantified,Run 3 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Hpg Pulse channels Quantified,Biological Replicate 2 - % Hpg Pulse Channels Quantified,Biological Replicate 3 - % Hpg Pulse Channels Quantified,Biological Replicate 4 - % Hpg Pulse Channels Quantified,Biological Replicate 5 - % Hpg Pulse channels Quantified,Biological Replicate 6 - % Hpg Pulse Channels Quantified,Biological Replicate 1 - % Channels Quantified,Biological Replicate 2 - % Channels Quantified,Biological Replicate 3 - % Channels Quantified,Biological Replicate 4 - % Channels Quantified,Biological Replicate 5 - % Channels Quantified,Biological Replicate 6 - % Channels Quantified
Q6P0K8,Junction plakoglobin OS,JUP,114.522,38,21,59,18,387,120.2,166.2,711.5,164.3,151.5,130.8,575.3,401.6,120.5,153.7,99.9,138.3,209.8,128.4,165.3,434.9,211.4,718,494.1,185,56.8,172.3,234.5,1418.4,221.1,280.3,131.5,172.9,159.4,263.4,524.4,1906.6,309.7,755.8,436,652.1,445.6,955.1,728.8,2382.2,771.6,883.3,2203.2,269.4,542.9,394.6,1041.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11980-2,Isoform M2 of Pyruvate kinase PKM OS,PKM,111.978,46,22,105,2,7525.3,171.3,185.6,370.2,225.3,194.3,238.3,360.7,7736.8,129.8,213,64.6,202.7,238.7,189.6,67.3,7364.4,75.2,105.8,121.6,88.8,75.6,121.4,43.4,8872.7,61.5,165.8,94.1,111.6,175.1,92,27.8,4984.2,237.2,300,264.4,313.7,260,232.9,251.8,3230.9,269.6,265,417.7,252.9,287.6,200.1,384.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q9QZK5,Serine protease HTRA1 OS,HTRA1,110.673,43,16,94,16,7120.7,105.5,123,188.6,145,103,149.4,107.3,7972.2,68.1,107.9,143.9,126.4,153.2,105.3,43.9,6220.6,87,128.6,180.3,108.8,146.1,198,60.1,10161.1,51.1,136.5,158.9,140.2,232.9,136.4,36.9,2586.2,46.3,68.5,56.8,62.8,51.1,70.6,46.3,1690.4,56.5,59.5,63.5,51.2,69.2,37.7,63.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P63018,Heat shock cognate 71 kDa protein OS,HSPA8,105.442,37,20,79,10,3484.9,149.1,236.5,560.2,222.8,172.1,188.5,645.3,3605.9,114.9,191.4,106.4,193.6,201.1,189.5,119.9,3081.8,139,203.2,214.4,217.7,107.6,158.1,130.7,5080.4,134.1,257.8,136.1,203.9,270.1,251.5,206.2,2807.9,54.2,101.4,101.9,100.7,90.3,143.3,78.6,1748.5,73.2,106,163.7,82.9,103,45,104.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P34058,Heat shock protein HSP 90-beta OS,HSP90AB1,101.321,35,21,81,13,5456.6,131.7,144.5,235.7,172.3,158.2,155.9,294.5,5736.9,98.2,135.9,57.6,121.4,171.9,140.6,65.8,7724.1,113.4,278.5,270.2,196.7,131.3,159,113.2,10366.6,85.4,257.5,157.4,171.1,230.6,171.5,214.3,4477.1,242.5,227.3,243.6,259.1,195.9,134.3,215.8,3139.2,248.9,226.3,296.2,177.4,198.3,218.9,274.2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11980,Pyruvate kinase PKM OS,PKM,96.721,42,21,95,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,,,,,,,,,
P04785,Protein disulfide-isomerase OS,P4HB,92.15,38,14,80,14,3237.1,60.3,213.6,289,263.2,242.2,211.2,281.3,2265.3,67.8,154.7,85.1,179.4,190.5,157.8,100.1,1220.3,87.8,359.3,305.7,412.2,286.2,368.6,323,4207.2,66.8,318.1,290.3,355.4,457.1,386.5,173,2646.3,119.9,176.6,212.7,245.2,184.9,104.6,163.6,910.3,126.3,155.5,168.1,138.6,166.8,128.5,171.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6P9V9,Tubulin alpha-1B chain OS,TUBA1B,88,38,12,45,12,3104.6,93.2,110.9,285.1,107.4,90,99.7,420.2,3238,55,129.3,25.5,98.4,107.6,75.5,49,2853.7,32.2,63.6,54.7,39.9,53.1,75.7,25.7,3616.2,37.7,86,54.3,52.1,74.2,68,19,5061.8,114.8,168.4,144.2,202.6,130.5,123.1,151.1,3143.5,169.9,161.3,411.1,146,150.6,72.4,178.6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P18418,Calreticulin OS,CALR,85.591,39,14,169,14,11721.4,93.2,442.6,749.8,634.9,511.3,437.8,315.7,8517.8,82,288.8,77.4,311.6,362,302.4,99.3,3096.5,62,774.3,718.7,892.1,639,727.6,639.5,8058.6,54.6,652.4,479.4,602,893.8,577.3,216.3,28243.6,464,1210.2,1133.8,1445.7,968.1,584.2,728.4,9441.6,517,807,973.3,497.5,761.1,475.5,996.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
D3ZCG9,Integrin alpha 3 variant A OS,ITGA3,81.896,22,18,72,18,4013.7,227.9,235.5,451.3,282.6,237,253,301.1,3962,125.2,259.6,150.8,251.3,310,165.5,129.1,726.4,94.4,128.4,99.2,107,60.5,107.8,100.4,6071.2,83.7,269.7,160.7,197.9,188.8,133,24,4558.4,145.1,230.4,233.2,265.1,187.3,117.4,202.2,3625.6,184.6,236.8,241.5,169.7,218.6,130.5,291.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V836,Clusterin OS,CLU,81.662,19,8,216,8,23105.4,95.3,153.5,180.5,156.7,99.2,184.4,107.8,26462.6,87.3,76.1,25.8,137.6,115.7,127.1,34.9,30613.5,177.5,240.1,325.1,204.1,351.3,358.7,77.7,33303.4,93.3,441.9,276.8,281.4,453.9,269.2,68.8,17739.7,262.1,371.6,284.7,358.2,258,492.5,274.4,10216.9,281.5,324.6,431.8,378,300.9,191.9,401.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P04797,Glyceraldehyde-3-phosphate dehydrogenase OS,GAPDH,75.885,39,11,184,2,11183.3,374.8,442.5,784.3,486,414,460.7,706.5,12706.4,272.7,394.3,261,403.2,484.3,347,249.9,5934.1,88.1,116.8,150.9,109.2,82.6,101.9,36.3,7307.1,91.8,163.2,107.8,112,131.7,133.2,61.6,5272.4,178.6,247.6,224.3,273.8,207.2,120.5,222.8,3261.8,260.6,248.2,481.1,234.8,211.7,150.8,350.3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P11442,Clathrin heavy chain 1 OS,CLTC,74.657,15,19,40,19,1765.7,225.4,223.3,258.8,256.7,230.7,265.5,270.3,1918.9,124.2,250.3,177,201.4,253.2,146.3,115.3,210.7,5.3,3.5,5.3,3.6,4.1,5.3,,304.5,,4.7,,3.9,8,3,,4090.9,140.3,213.1,173.6,193.4,136.2,89.8,165.2,2379.5,171.6,162.9,241.2,138.2,191.5,117.2,216.7,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,100%,79%,100%,100%,100%,86%,71%,100%,100%,100%,100%,88%,63%,100%,100%
P15999,"ATP synthase subunit alpha, mitochondrial OS",ATP5A1,74.425,32,13,29,13,605.1,13.9,25.5,46.1,37.4,31.3,25.2,25.3,542.4,8.4,31.8,10,26,33.2,25.7,16,96.3,5.6,14.1,13.9,17.1,8,14.7,19.3,681.5,6,27.8,20.5,29.4,33.2,22.1,2.9,2671.3,110.4,160,167.9,183.7,125.9,136.3,150.4,2251.8,122.5,133.3,172.9,119.3,129.2,92.2,189.7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P05197,Elongation factor 2 OS,EEF2,68.878,28,18,53,17,6927.1,50.2,151.4,367.8,170.4,62.3,90.9,330.4,7395.1,73.9,130.7,19.8,123.6,80,116.9,24.5,552.7,15.5,19,28.1,16.2,10.5,18.9,11.8,625.4,13.2,21.7,19.4,20.3,22,18.5,14.9,2562.3,38,56.6,47.2,59,42.7,89,59,1267.4,73,72.6,119.4,56.8,64.4,31.7,71.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P82995,Heat shock protein HSP 90-alpha OS,HSP90AA1,67.901,23,14,37,7,1141.1,39.3,39.4,70,38.9,28.4,34.8,73.6,1264.2,26.9,43.5,6,41,38.9,37.9,30.4,545.8,6.3,10.2,16.9,13.1,16.8,20.9,22.1,785,3.7,15.8,14.7,12.9,22.5,16.7,20.9,1600.9,20.4,53.7,51.4,33.2,31.7,5.6,29.5,1025.6,34.1,40.6,46.4,27.3,30.6,26.3,36,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q07936,Annexin A2 OS,ANXA2,66.681,41,14,35,14,360,39.3,47.7,88.1,55.8,48.1,66.5,81.9,366.2,41.5,102.9,64.2,43,54.2,37.9,46,1044.7,183.5,315.3,357.5,231,117,186,274.5,3735.4,159.9,266.6,182.6,229.1,307.7,360.5,371.9,2048.8,164.3,269.6,259.8,239.3,185,228.3,231,1451.9,308.7,275.4,639.2,206.2,192,141.8,369,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P63039,"60 kDa heat shock protein, mitochondrial OS",HSPD1,64.142,34,14,33,14,32.5,16.7,6.2,24.6,13,15.4,9.2,19.7,28,9.6,11.5,10.3,13.6,11.3,11.8,10.8,841.7,27,63.2,60.2,51.9,44.4,63.4,41,1985,30.8,87.2,47.5,65.6,111,87.8,34.3,823.9,68.8,104.2,123.2,118.5,85.7,144.2,99.4,750.5,79.2,148.6,408.8,91.3,93.7,66.5,131,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q5RJR9,"Serine (Or cysteine) proteinase inhibitor, clade H, member 1, isoform CRA_b OS",SERPINH1,63.459,29,10,31,10,1389.6,191.1,141.4,128.9,227.9,230,308.8,274.8,1338.7,176.5,458.4,220.8,119.9,173.3,114.9,168.4,796,694.4,494.1,434.7,369,382.9,465.8,387.8,2240.6,400.1,624.9,419.4,598.7,542.3,413,285.2,3320.7,144.6,203.8,211.3,242.9,174.8,166.8,169.9,1564.3,139,185.2,265.6,148.2,175.5,148.6,219.4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
Q6TUG0,DnaJ homolog subfamily B member 11 OS,DNAJB11,62.066,37,11,66,11,3098,493.1,276.4,438.2,362.7,360.5,383.2,321.1,2220,121.9,793.5,225.8,249.4,554.1,268.5,154.9,1075.8,68.6,210.8,228.4,229,174.9,225.6,227.2,4459,49,270.8,234.1,250.7,381.9,313.6,144.8,8549.3,155.3,394.8,339.1,368.8,260.7,250.1,222.3,3711,213,254.6,330.1,183.8,277.4,191.2,390.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
G3V908,Protein Kb15 OS,KB15,60.97,16,9,585,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95.6,13.7,8.1,3,14.7,110.2,2.4,10.4,27.6,10.2,4.2,9.2,14.3,10.7,10.8,10.3,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,,,100%,,,,,100%,100%,,,,,100%,100%
Q06000,Lipoprotein lipase OS,LPL,58.117,19,8,46,8,1432.3,109.8,123.7,140.4,127.2,107.9,108.2,137.6,1564.8,97.2,110.1,51.1,101.1,126.2,91.4,99.2,853.6,7.4,8.1,19,8.7,21,16.1,13.7,1026.6,5.1,14.2,11.8,11.9,26,10.9,9.9,2904,178.4,232,168.6,231.2,175.4,208.5,220.4,2243.4,195.2,217.8,423.7,347.7,211.9,164.6,324.1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
P16617,Phosphoglycerate kinase 1 OS,PGK1,57.889,29,11,37,11,1836.4,52.4,54.2,87.4,64.4,49.4,46,86.4,2011.6,35.5,45.6,18.8,64.2,75.8,42.8,22.9,1433.2,52.5,70.1,64.2,50.6,48.5,69.6,49.3,1805.3,60.3,64.1,58.6,60,72,61.4,41.7,1649.3,57.5,100.1,92.3,116.8,73.3,104.3,101.2,945.1,115.7,107.6,142.8,62.6,99.9,72.5,161.8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%,100%
